Authors;Article Title;DOI
"Shaw, M; Majumdar, A; Govindan, K";Barriers of social sustainability: an improved interpretive structural model of Indian textile and clothing supply chain;10.1002/sd.2331
"Garcia, S; Cordeiro, A; Naas, ID; Neto, PLDC";The sustainability awareness of Brazilian consumers of cotton clothing;10.1016/j.jclepro.2019.01.069
"Majumdar, A; Ali, SM; Agrawal, R; Srivastava, S";A triple helix framework for strategy development in circular textile and clothing supply chain: an Indian perspective;10.1016/j.jclepro.2022.132954
"Agrawal, TK; Kumar, V; Pal, R; Wang, LC; Chen, Y";Blockchain-based framework for supply chain traceability: A case example of textile and clothing industry;10.1016/j.cie.2021.107130
"Arora, S; Majumdar, A";Machine learning and soft computing applications in textile and clothing supply chain: Bibliometric and network analyses to delineate future research agenda;10.1016/j.eswa.2022.117000
"Agrawal, TK; Koehl, L; Campagne, C";A secured tag for implementation of traceability in textile and clothing supply chain;10.1007/s00170-018-2638-x
"Cao, Y; Qu, Y; Guo, LL";Identifying critical eco-innovation practices in circular supply chain management: evidence from the textile and clothing industry;10.1080/13675567.2022.2076817
"Peters, J; Simaens, A";Integrating Sustainability into Corporate Strategy: A Case Study of the Textile and Clothing Industry;10.3390/su12156125
"Majumdar, A; Shaw, M; Sinha, SK";COVID-19 debunks the myth of socially sustainable supply chain: A case of the clothing industry in South Asian countries;10.1016/j.spc.2020.07.001
"Perez, JJB; Queiruga-Dios, A; Martinez, VG; del Rey, AM";Traceability of Ready-to-Wear Clothing through Blockchain Technology;10.3390/su12187491
"Sandberg, E; Pal, R; Hemila, J";Exploring value creation and appropriation in the reverse clothing supply chain;10.1108/IJLM-10-2016-0241
Liu, JJ;Research on Supply Chain Optimization Strategy of Clothing Retail Industry under the Background of Big Data;
"Palacios-Mateo, C; van der Meer, Y; Seide, G";Analysis of the polyester clothing value chain to identify key intervention points for sustainability;10.1186/s12302-020-00447-x
"Paco, A; Leal, W; Avila, LV; Dennis, K";Fostering sustainable consumer behavior regarding clothing: Assessing trends on purchases, recycling and disposal;10.1177/0040517520944524
"Paydar, MM; Olfati, M; Triki, C";Designing a clothing supply chain network considering pricing and demand sensitivity to discounts and advertisement;10.1051/ro/2020118
"Agrawal, TK; Pal, R";Traceability in Textile and Clothing Supply Chains: Classifying Implementation Factors and Information Sets via Delphi Study;10.3390/su11061698
"Agrawal, TK; Koehl, L; Campagne, C";CRYPTOGRAPHIC TRACKING TAGS FOR TRACEABILITY IN TEXTILES AND CLOTHING SUPPLY CHAIN;
"Provin, AP; Dutra, ARD; Machado, MM; Cubas, ALV";New materials for clothing: Rethinking possibilities through a sustainability approach - A review;10.1016/j.jclepro.2020.124444
"Amindoust, A; Saghafinia, A";Textile supplier selection in sustainable supply chain using a modular fuzzy inference system model;10.1080/00405000.2016.1238130
"Wang, XF; Wang, BM; Mao, YJ";Decision Analysis of Resource Sharing in Garment Supply Chain Based on Evolutionary Game;
"Chit, TW; Ning, L; Paliath, NA; Long, YM; Akhtar, H; Yang, SS";IIoT-enabled and Data-driven Sustainability Evaluation Framework for Textile Supply Chain;10.1109/ICIEA51954.2021.9516314
"Pal, R; Sandberg, E; Paras, MK";Multidimensional value creation through different reverse supply chain relationships in used clothing sector;10.1108/SCM-12-2018-0422
"Ahmed, WAH; MacCarthy, BL";Blockchain-Enabled Supply Chain Traceability in the Textile and Apparel Supply Chain: A Case Study of the Fiber Producer, Lenzing;10.3390/su131910496
"Li, Q; Xue, ZB; Wu, YH; Zeng, XY";The Status Quo and Prospect of Sustainable Development of Smart Clothing;10.3390/su14020990
"Sirilertsuwan, P; Ekwall, D; Hjelmgren, D";Proximity manufacturing for enhancing clothing supply chain sustainability;10.1108/IJLM-09-2017-0233
"ElMessiry, M; ElMessiry, A";Blockchain Framework for Textile Supply Chain Management Improving Transparency, Traceability, and Quality;10.1007/978-3-319-94478-4_15
"Oelze, N; Gruchmann, T; Brandenburg, M";Motivating Factors for Implementing Apparel Certification Schemes-A Sustainable Supply Chain Management Perspective;10.3390/su12124823
"Ahmed, MS; Uddin, S";Workplace Bullying and Intensification of Labour Controls in the Clothing Supply Chain: Post-Rana Plaza Disaster;10.1177/09500170211038205
"McLaren, A; Hardy, DA; Hughes-Riley, T";Electronic textiles and product lifetimes: exploring design strategies for product longevity;10.3233/978-1-61499-820-4-473
"Garcia, S; Cordeiro, A; Neto, FG; Naas, ID";Ecological Footprint in the Cotton Supply Chain: The Consumers' View;10.1007/978-3-319-66926-7_52
"Shen, B; Li, QY; Dong, CW; Perry, P";Sustainability Issues in Textile and Apparel Supply Chains;10.3390/su9091592
"Jutidamrongphan, W; Rahman, MA; Hossain, T; Khatun, SA; Lamas, WD";ECO-FASHION DESIGNING TO ENSURE CORPORATE SOCIAL RESPONSIBILITY WITHIN THE SUPPLY CHAIN IN FASHION INDUSTRY;10.2478/aut-2020-0064
"Cao, HQ; Ji, XF";OPTIMAL RECYCLING PRICE STRATEGY OF CLOTHING ENTERPRISES BASED ON CLOSED-LOOP SUPPLY CHAIN;10.3934/jimo.2021232
"Laitala, K; Klepp, IG; Henry, B";Does Use Matter? Comparison of Environmental Impacts of Clothing Based on Fiber Type;10.3390/su10072524
"Lam, OA; Lei, ZB";Textile and Apparel Supply Chain with Distributed Ledger Technology (DLT);10.1109/MDM.2019.000-4
"Azevedo, S; Miguel, R; Mesquita, P";Sustainability of textile and fashion supply chain: Case study approach;
"Li, X; Wang, LL; Ding, XM";Textile supply chain waste management in China;10.1016/j.jclepro.2020.125147
"Klein, JA; Petrere, MP; Butturi-Gomes, D; Barrella, W";Textile sustainability: A Brazilian etiquette issue;10.1016/j.envsci.2020.02.025
"Raian, S; Ali, SM; Sarker, MR; Sankaranarayanan, B; Kabir, G; Paul, SK; Chakrabortty, RK";Assessing sustainability risks in the supply chain of the textile industry under uncertainty;10.1016/j.resconrec.2021.105975
"Koksal, D; Strahle, J; Muller, M; Freise, M";Social Sustainable Supply Chain Management in the Textile and Apparel Industry-A Literature Review;10.3390/su9010100
"Yaghin, RG; Sarlak, P; Ghareaghaji, AA";Robust master planning of a socially responsible supply chain under fuzzy-stochastic uncertainty (A case study of clothing industry);10.1016/j.engappai.2020.103715
"Jordao, C; Broega, AC; Martins, S";Textile sustainability: Reuse of wastes from the textile and clothing industry in Brazil;
"Borjeson, N; Bostrom, M";Towards Reflexive Responsibility in a Textile Supply Chain;10.1002/bse.2012
"McNeill, LS; Hamlin, RP; McQueen, RH; Degenstein, L; Garrett, TC; Dunn, L; Wakes, S";Fashion sensitive young consumers and fashion garment repair: Emotional connections to garments as a sustainability strategy;10.1111/ijcs.12572
"Yaghin, RG; Sarlak, P";Textile supply chain management considering carbon emissions and apparel demand fuzziness: a fuzzy mathematical programming approach;10.1108/IJCST-08-2020-0124
"Majumdar, A; Sinha, SK; Shaw, M; Mathiyazhagan, K";Analysing the vulnerability of green clothing supply chains in South and Southeast Asia using fuzzy analytic hierarchy process;10.1080/00207543.2019.1708988
"McQueen, RH; Jain, A; McNeill, LS; Kozlowski, A";The role of resources in repair practice: engagement with self, paid and unpaid clothing repair by young consumers;10.1177/00405175221123067
"Goworek, H; Oxborrow, L; Claxton, S; McLaren, A; Cooper, T; Hill, H";Managing sustainability in the fashion business: Challenges in product development for clothing longevity in the UK;10.1016/j.jbusres.2018.07.021
"Styven, ME; Mariani, MM";Understanding the intention to buy secondhand clothing on sharing economy platforms: The influence of sustainability, distance from the consumption system, and economic motivations;10.1002/mar.21334
"Sabrina, PN; Maspupah, A; Umbara, FR";E-Supply Chain Management Model for Garment & Textile Industry with Limitation of Technological Capabilities;10.1088/1757-899X/662/7/072003
"Majumdar, A; Sinha, SK; Govindan, K";Prioritising risk mitigation strategies for environmentally sustainable clothing supply chains: Insights from selected organisational theories;10.1016/j.spc.2021.06.021
"Chowdhury, NA; Ali, SM; Mahtab, Z; Rahman, T; Kabir, G; Paul, SK";A structural model for investigating the driving and dependence power of supply chain risks in the readymade garment industry;10.1016/j.jretconser.2019.05.024
Staicu, D;Characteristics of textile and clothing sector social entrepreneurs in the transition to the circular economy;10.35530/IT.072.01.202031
"Kazancoglu, I; Kazancoglu, Y; Yarimoglu, E; Kahraman, A";A conceptual framework for barriers of circular supply chains for sustainability in the textile industry;10.1002/sd.2100
